Time resolution is 1 ps
Starting I2S testbench...
T=271439000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=0
T=272150000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=1
T=272505000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=0
T=272860000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=1
T=273571000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=0
T=274636000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=1
T=274991000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=0
T=281385000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=x
T=281740000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=1
T=282095000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=0
T=282451000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=1
T=282806000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=0
T=283161000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=1
T=285292000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=0
T=286713000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=1
T=287068000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b1c3 | tx_out=0
T=292751000 | sim_L=b2c3 sim_R=1304 | rx_L=12e4 rx_R=b1c3 | tx_out=0
T=292752000 CHECK left:  rx=12e4  sim=b2c3  MISMATCH
T=292752000 CHECK right: rx=b1c3  sim=1304  MISMATCH
T=293107000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=x
T=293462000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=0
T=294527000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=1
T=294883000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=0
T=295593000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=1
T=295948000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=0
T=296303000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=1
T=297014000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=0
T=297369000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=1
T=297724000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=0
T=298079000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=1
T=298435000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b1c3 | tx_out=0
T=304828000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=x
T=305183000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=1
T=305539000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=0
T=305894000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=1
T=306604000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=0
T=308025000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=1
T=308735000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=0
T=310156000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=1
T=310511000 | sim_L=b2c3 sim_R=1304 | rx_L=12f4 rx_R=b2c3 | tx_out=0
T=316195000 | sim_L=b3c3 sim_R=1314 | rx_L=12f4 rx_R=b2c3 | tx_out=0
